Код,Наименование,Биоматериал,Тип результата,Лаборатория исполнения,"Алматы, СРОК","Партнерская цена, в тенге.",Цена для клиентов на сайте checkdoc
7706TNFRSF,"Аутоиммунный лимфопролиферативный синдром. Поиск мутаций в гене TNFRSF6, м. (Autoimmune Lymphoproliferative Syndrome, ALPS, Gene TNFRSF6, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  265 072 ,  371 101 
7799TNFR,"Семейная периодическая лихорадка. Поиск мутаций в гене TNFRSFIA, м. (TNF-Receptor-Associated Periodic Syndrome, TRAPS, Gene TNFRSFIA, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  89 000 ,  124 600 
7979TRAP,"Спондилоэпифизарная дисплазия (СЭД). Поиск мутаций в гене TRAPPC2, м. (Spondyloepiphyseal Dysplasia Tarda, SEDT, Gene TRAPPC2, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  170 720 ,  239 008 
7936TRIM,"Нанизм MULIBRAY. Поиск мутаций в гене TRIM37, м. (Muscle-Liver-Brain-Eye, Gene TRIM37, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  110 984 ,  155 378 
7638TRPS,"Трихоринофалангеальный синдром. Поиск мутаций в гене TRPS1, м. (Trichorhinophalangeal Syndrome, TRPS, Gene TRPS1, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  329 552 ,  461 373 
7132,"Дистальная спинальная амиотрофия врожденная непрогрессирующая. Поиск мутаций в «горячих» участках гена TRPV4, «горяч.» уч. м. (Distal Spinal Muscular Atrophy Congenital Non-Progressive, Gene TRPV4, Hot-Point Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  143 992 ,  201 589 
7804TYR,"Альбинизм глазокожный тип 1А. Поиск мутаций в гене TYR, м. (Albinism Oculocutaneous Type IA, Gene TYR, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  191 168 ,  267 635 
7914UNC,"Семейный гемофагоцитарный лимфогистиоцитоз. Поиск мутаций в гене UNC13D, м. (Familial Hemophagocytic Lymphohistiocytosis, Gene UNC13D, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 35,  590 584 ,  826 818 
7914UNC1,"Семейный гемофагоцитарный лимфогистиоцитоз. Поиск частых мутаций в гене UNC13D, ч. м. (Familial Hemophagocytic Lymphohistiocytosis, Gene UNC13D, Freq. Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 19,  71 672 ,  100 341 
7984VHL,"Синдром Хиппеля-Линдау (церебро-ретино-висцеральный ангиоматоз). Поиск мутаций в гене VHL, м. (Von Hippel-Lindau Syndrome, VHL, Von Hippel-Lindau Hereditary Cancer Syndrome, Gene VHL, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  143 992 ,  201 589 
7973VHL,"Синдром Хиппеля-Линдау (церебро-ретино-висцеральный ангиоматоз). Определение числа копий гена VHL, м. (Von Hippel-Lindau Syndrome, VHL, Von Hippel-Lindau Hereditary Cancer Syndrome, Gene VHL, Copy Number Variation Gene VHL, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 29,  156 576 ,  219 206 
7900VHLI,"Эритроцитоз рецессивный (cемейная наследственная полицитемия). Поиск частых мутаций в гене VHL, ч. м. (Autosomal Recessive Erythrocytosis, Gene VHL, Freq. Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 19,  82 152 ,  115 013 
7868WAS,"Синдром Вискотта-Олдрича (СВО). Поиск мутаций в гене WAS, м. (Wiskott-Aldrich Syndrome, WAS, Gene WAS, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  243 064 ,  340 290 
7743ZEB2,"Синдром Моуат-Вильсон. Поиск мутаций в гене ZEB2, м. (Mowat-Wilson Syndrome, Gene ZEB2, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 35,  496 240 ,  694 736 
7822В,"Гемофилия. Поиск мутаций в гене фактора IX при гемофилии B, м. (Hemophilia B, Gene Factor IX, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  243 064 ,  340 290 
7902PMP,"Наследственная нейропатия с подверженностью параличу от сдавления. Поиск мутаций в гене РМР22, м. (Hereditary Neuropathy with Liability to Pressure Palsies, HNPP, Gene РМР22, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  170 720 ,  239 008 
7788ATXN7,"Спиноцеребеллярная атаксия. Поиск частых мутаций в гене ATXN7, ч. м. (Spinocerebellar Ataxia, Gene ATXN7 Freq. Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 19,  71 672 ,  100 341 
7787ATXN8,"Спиноцеребеллярная атаксия. Поиск частых мутаций в гене ATXN8, ч. м. (Spinocerebellar Ataxia, Gene ATXN8, Freq. Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 19,  71 672 ,  100 341 
7126,"Гипофосфатемический витамин D-резистентный рахит (почечный фосфатный диабет). Поиск мутаций в гене PHEX, м. (Hypophosphatemic Vitamin D-Resistant Rickets, Gene PHEX, Mut. )",Цельная кровь,Описание результата врачом - генетиком,МСК,до 33,  325 800 ,  456 120 
7128,"Дефицит карнитина системный первичный. Поиск мутаций в гене SLC22A5, м. (Systemic Primary Carnitine Deficiency, SPCD, Carnitine Deficiency Systemic Primary, CDSP, Gene SLC22A5, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  329 552 ,  461 373 
7129,"Диастрофическая дисплазия. Поиск мутаций в гене SLC26A2, м. (Diastrophic Dysplasia, Gene SLC26A2, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  210 032 ,  294 045 
7927BSCL,"Дистальная моторная нейропатия тип V. Поиск мутаций в гене BSCL2, м. (Distal Hereditary Motor Neuropathy, DHMN, Gene BSCL2, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  243 064 ,  340 290 
7604KRT2,"Ихтиоз буллезный. Поиск мутаций в гене KRT2, м. (Ichthyosis Bullosa Of Siemens, Gene KRT2, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  243 064 ,  340 290 
7133,"Ихтиоз вульгарный. Поиск частых мутаций в гене FLG, ч. м (Ichthyosis Vulgaris, Gene FLG, Freq. Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  110 984 ,  155 378 
7140,"Костная гетероплазия прогрессирующая. Поиск мутаций в гене GNAS, м. (Progressive Osseous Heteroplasia, POH, Gene GNAS, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  298 096 ,  417 334 
7141,"Краниометафизарная дисплазия. Поиск мутаций в «горячих» участках гена ANKH, «горяч.» уч. м. (Craniometaphyseal Dysplasia, Gene ANKH, Hot-Point Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  110 984 ,  155 378 
7142,"Краниометафизарная дисплазия. Поиск мутаций гена ANKH, м.  (Craniometaphyseal Dysplasia, Gene ANKH, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 33,  397 168 ,  556 035 
7143,"Краниосиностоз. Поиск мутаций в гене TWIST1, м. (Craniosynostosis Type 2, Gene TWIST1, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  143 992 ,  201 589 
7010UGI,"Диагностика синдрома Криглера-Найяра (СКН, семейная желтуха) (ген UGT1A1). (Crigler-Najjer Syndrome, Gene UGT1, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  74 200 ,  103 880 
7147,"Миоклоническая дистония. Поиск мутаций в гене SGCE, м. (Myoclonic Dystonia, Gene SGCE, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 33,  397 168 ,  556 035 
7148,"Миотония Томсена-Беккера. Поиск частых мутаций в гене CLCN1, ч. м. (Myotonia Congenita, Gene CLCN1, Freq. Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 21,  110 984 ,  155 378 
7791I,"Муковисцидоз. Поиск частых мутаций в гене CFTR, ч. м. (Cystic Fibrosis, Gene CFTR, Freq. Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 20,  167 080 ,  233 912 
7720LMNA,"Мандибулоакральная дисплазия с липодистрофией. Поиск мутаций в экзонах 8, 9 гена LMNA, м. (Mandibuloacral Dysplasia, Exons 8, 9 Gene LMNA, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  77 952 ,  109 133 
7760FGFR3,"Синдром Крузона с черным акантозом. Поиск мутаций в экзоне 10 гена FGFR3, м. (Crouzon Syndrome with Acanthosis Nigrican, CAN, Exon 10 Gene FGFR3, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  77 952 ,  109 133 
7815HDI,"Хорея Гентингтона. Поиск частых мутаций в гене IT15, ч. м. (Chorea Huntington, Gene IT15, Freq. Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 19,  23 992 ,  33 589 
7701XI,Определение неравновесной лайонизациии Х-хромосомы при Х-сцепленных рецессивных заболеваниях у девочек (Non-Random X Chromosome Inactivation in Females),Цельная кровь,Описание результата врачом - генетиком,МСК,до 19,  102 600 ,  143 640 
7972ДИСI,"Прогрессирующая мышечная дистрофия Дюшенна/Беккера (ПМДД), делеции и дупликации гена DMD",Цельная кровь,Описание результата врачом - генетиком,МСК,до 18,  87 992 ,  123 189 
7163,"Мышечная дистрофия Эмери-Дрейфуса. Поиск мутаций в гене FHL1, м. (Emery-Dreifuss Muscular Dystrophy, Gene FHL1, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  265 072 ,  371 101 
7849NPHP1,"Нефронофтиз. Поиск мутаций в гене NPHP1, м. (Nephronophthisis 1, NPHP1, Gene NPHP1, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 19,  156 576 ,  219 206 
7166,"Нефротический синдром. Поиск мутаций в гене NPHS1, м. (Nephrotic Syndrome Type 1, NPHS1, Gene NPHS1, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 33,  590 584 ,  826 818 
7167,"Нефротический синдром. Поиск мутаций в гене NPHS2, м.  (Nephrotic Syndrome Type 1, NPHS1, Gene NPHS2, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  265 072 ,  371 101 
7168,"Остеопетроз рецессивный (мраморная болезнь костей). Поиск мутаций в гене TCIRG1, м. (Osteopetrosis Autosomal Recessive 1, OPTB1, Gene TCIRG1, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 33,  397 168 ,  556 035 
7176,"Пикнодизостоз. Поиск мутаций в гене CTSK, м. (Pyknodysostosis, PKND, Gene CTSK, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  210 032 ,  294 045 
7180,"Прогерия Хатчинсона-Гилфорда. Поиск мутаций в гене LMNA, м. (Hutchinson-Gilford Progeria Syndrome, Gene LMNA, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  329 552 ,  461 373 
7183,"Псевдоксантома эластическая. Поиск частых мутаций в гене ABCC6, ч. м. (Pseudoxanthoma Elasticum, Gene ABCC6, Freq. Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  77 952 ,  109 133 
7185,"Ретиношизис. Поиск мутаций в гене RS1, м. (Retinoschisis 1 X-Linked Juvenile, RS1, Gene RS1, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  210 032 ,  294 045 
7186,"Синдром TAR. Поиск мутаций в гене RBM8A, м.  (Thrombocytopenia-Absent Radius Syndrome, TAR-Syndrome, Gene RBM8A, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  210 032 ,  294 045 
7187,"Синдром Альстрома. Поиск мутаций в «горячих» участках гена ALMS1, «горяч.» уч. м. (Alström syndrome, Gene ALMS1, Hot-Point Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  143 992 ,  201 589 
7189,"Синдром Боуэна-Конради (БКС, цереброгепаторенальный синдром). Поиск мутаций в гене EMG1, м.  (Bowen Conradi Syndrome, BCS, Gene EMG1, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  170 720 ,  239 008 
7190,"Синдром Ван дер Вуда. Поиск мутаций в гене IRF6, м. (Van der Woude Syndrome, Gene IRF6, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  298 096 ,  417 334 
7785PHOX2B,"Синдром врожденной центральной гиповентиляции (СВЦГ). Поиск частых мутаций в гене PHOX2B, ч. м. (Congenital Central Hypoventilation Syndrome, CCHS, Gene PHOX2B, Freq. Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 19,  71 672 ,  100 341 
7192,"Синдром Германски-Пудлака (Альбинизм глазо-кожный с геморрагическим диатезом и пигментацией ретикуло-эндотелиальных клеток). Поиск частых мутаций в гене HPS1, ч. м. (Albinism Оculocutaneous, Hermansky-Pudlak Тype, Gene HPS1, Freq. Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  110 984 ,  155 378 
7738FGFR,"Синдром Джексона-Вейсса. Поиск мутаций в экзоне 9 гена FGFR2 и экзоне 7A гена FGFR1, м. (Jackson-Weiss Syndrome, JWS, Exon 9 Gene FGFR2, Exon 7A Gene FGFR1, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  110 984 ,  155 378 
7194,"Синдром Жубера (СЖ). Анализ числа копий гена NPHP1 (Joubert Syndrome, Cerebelloparenchymal Disorder IV, CPD IV, Classic Joubert Syndrome, Joubert Syndrome type A, Joubert-Boltshauser Syndrome, Pure Joubert Syndrome, Gene NPHP1, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  156 576 ,  219 206 
7195,"Синдром Карпентера (акроцефалополисиндактилия второго типа). Поиск мутаций в гене RAB23, м.  (Carpenter Syndrome, Gene RAB23, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  243 064 ,  340 290 
7198,"Синдром Клиппеля-Фейля (синдром короткой шеи). Поиск мутаций в гене GDF6, м. (Klippel-Feil Syndrome, Gene GDF6, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  143 992 ,  201 589 
7199,"Синдром Костелло. Поиск мутаций в гене HRAS, м. (Costello Syndrome, Gene HRAS, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  77 952 ,  109 133 
7202,"Синдром Коффина-Лоури (СКЛ). Поиск мутаций в гене RPS6KA3, м. (Coffin-Lowry Syndrome, Gene RPS6KA3, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 33,  325 800 ,  456 120 
7204,"Синдром Маклеода. Поиск мутаций в гене XK, м.  (McLeod Syndrome, Gene XK, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  170 720 ,  239 008 
7213,"Синдром ногтей-надколенника (остеониходисплазия). Поиск мутаций в гене LMX1B, м. (Nail-Patella Syndrome, NPS, Onychoosteodysplasia, Gene LMX1B, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  243 064 ,  340 290 
7215,"Синдром Ослера-Рaндю-Веберa (наследственная геморрагическая телеангиэктазия). Поиск мутаций в гене ENG, м.  (Rendu-Osler-Weber Disease, Gene ENG, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  298 096 ,  417 334 
7217,"Синдром подколенного птеригиума. Поиск мутаций в гене IRF6, м.  (Popliteal Pterygium Syndrome, PPS, Gene IRF6, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  298 096 ,  417 334 
7745FGFR,"Синдром Пфайффера. Поиск мутаций в экзонах 7, 9 гена FGFR2 и экзоне 7A гена FGFR1, м. (Pfeiffer Syndrome, Exons 7, 9 Gene FGFR2, Exon 7A Gene FGFR1, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  143 992 ,  201 589 
7218MEI,"Синдром Ретта. Поиск мутаций в гене MECP2, м. (Retts Syndrome, Gene MECP2, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 19,  76 432 ,  107 005 
7219,"Синдром Сетре-Чотзена. Поиск мутаций в гене TWIST1, м. (Saethre-Chotzen Syndrome, Gene TWIST1, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  143 992 ,  201 589 
7220,"Синдром Сильвера. Поиск мутаций в гене BSCL2, м. (Silver Syndrome, Gene BSCL2, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  243 064 ,  340 290 
7221,"Синдром Симпсона-Голаби-Бемель. Поиск мутаций в гене GPC3, м. (Simpson-Golabi-Behmel Syndrome, Type 1, SGBS1, Gene GPC3, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  265 072 ,  371 101 
7223,"Синдром Швахмана-Даймонда. Поиск мутаций в гене SBDS, м.  (Shwachman-Diamond Syndrome, Gene SBDS, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  191 168 ,  267 635 
7224,"Синдром Швахмана-Даймонда. Поиск частых мутаций в гене SBDS1, ч. м.  (Shwachman-Diamond Syndrome, Gene SBDS1, Freq. Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  77 952 ,  109 133 
7996АМИ,"Спинальная амиотрофия типы I, II, III, IV (с определением числа копий SMN2) (Spinal Muscular Atrophy, SMA, Type I, II, III, IV (copy Number Variation SMN2))",Цельная кровь,Описание результата врачом - генетиком,МСК,до 25,  68 880 ,  96 432 
7228,"Спинальная амиотрофия типы I, II, III, IV. Поиск мутаций в гене SMN1, м. (только при наличии одной копии гена) (Spinal Muscular Atrophy, SMA, Type I, II, III, IV, Gene SMN1, Mut. (Only Presence One Gene Copy) )",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  265 072 ,  371 101 
7230,"Спондилокостальный дизостоз. Поиск мутаций в гене DLL3, м. (Spondylocostal Dysostosis, Gene DLL3, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  243 064 ,  340 290 
7238,"Тромбоцитопения врожденная. Поиск мутаций в гене MPL, м. (Congenital Amegakaryocytic Thrombocytopenia, CAMT, Gene MPL, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  265 072 ,  371 101 
7781I,"Фенилкетонурия. Поиск частых мутаций в гене PAH, ч. м. (Phenylketonuria, PKU, Gene PAH, Freq. Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 20,  167 080 ,  233 912 
7244,"Хондродисплазия точечная Конради-Хюнермана. Поиск мутаций в гене EBP, м. (Chondrodysplasia Punctata, CDP, Conradi-Hunermann Syndrome, Gene EBP, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  170 720 ,  239 008 
7245,"Хондрокальциноз. Поиск мутаций в гене ANKH, м. (Chondrocalcinosis, Calcium Pyrophosphate Dihydrate, CPPD, Gene ANKH, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 33,  397 168 ,  556 035 
7889CHM,"Хороидеремия. Поиск мутаций в гене CHM, м. (Choroideremia, CHM, Gene CHM, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 35,  496 240 ,  694 736 
7248,"Эпифизарная дисплазия, множественная. Поиск частых мутаций в гене COMP, ч. м.  (Multiple Epiphysial Dysplasia, MED, Gene COMP, Freq. Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 21,  71 672 ,  100 341 
7249,"Эпифизарная дисплазия, множественная. Поиск мутаций в гене SLC26A2, м.  (Multiple Epiphysial Dysplasia, MED, Gene SLC26A2, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  210 032 ,  294 045 
7250,"Эритроцитоз рецессивный (cемейная наследственная полицитемия). Поиск мутаций в гене VHL, м. (Autosomal Recessive Erythrocytosis, Gene VHL, Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 26,  143 992 ,  201 589 
7810ATP7BI,"Болезнь Вильсона-Коновалова. Поиск частых мутаций в гене ATP7B, ч. м. (Wilson Disease, Gene ATP7B, Freq. Mut.)",Цельная кровь,Описание результата врачом - генетиком,МСК,до 19,  50 392 ,  70 549 
7642,Молекулярный скрининг на микроделеции/ микродупликации хромосом,Цельная кровь,Кач,МСК,до 21,  55 992 ,  78 389 
7643,Синдром Мартина-Белл (синдром ломкой X хромосомы),Цельная кровь,Кач,МСК,до 15,  31 192 ,  43 669 
7645,"Семейная гиперхолестеринемия, ген LDLR",Цельная кровь,Кач,МСК,до 19,  62 392 ,  87 349 
7646,"Семейная гиперхолестеринемия, ген PCSK9",Цельная кровь,Кач,МСК,до 19,  55 992 ,  78 389 
7647,"Семейная гиперхолестеринемия, ген APOB100",Цельная кровь,Кач,МСК,до 19,  23 992 ,  33 589 
7649,"Семейная гиперхолестеринемия (комплексная диагностика - гены LDLR, APOB, PCSK9)",Цельная кровь,Кач,МСК,до 19,  44 792 ,  62 709 
7652,"Синдром ЦАДАСИЛ, ген NOTCH3",Цельная кровь,Кач,МСК,до 19,  59 992 ,  83 989 
77701,"Болезнь Паркинсона, комплексная диагностика,  ч.м.",Цельная кровь,Опс,МСК,до 23,  47 992 ,  67 189 
77702,"Гентингтоноподобные заболевания, комплексная диагностика, ч.м.",Цельная кровь,Опс,МСК,до 19,  47 992 ,  67 189 
77703,"Синдром ДРПЛА, АТN1, ч.м.",Цельная кровь,Опс,МСК,до 19,  18 392 ,  25 749 
77704,"Митохондриальные заболевания, комплексная диагностика: митохондриальная ДНК, ч.м.",Цельная кровь,Опс,МСК,до 23,  39 992 ,  55 989 
77705,"Миотоническая дистрофия, тип 2, CNBP  (ZNF9), ч.м.",Цельная кровь,Опс,МСК,до 19,  15 992 ,  22 389 
77706,"Боковой амиотрофический склероз, C9orf72, ч.м.",Цельная кровь,Опс,МСК,до 19,  23 992 ,  33 589 
77707,"Гентингтоноподобное заболевание, тип 2, JPH3, ч.м.",Цельная кровь,Опс,МСК,до 19,  18 392 ,  25 749 
77708,"Спастическая параплегия Штрюмпеля, тип 4, SPAST (SPG4), ч.м.",Цельная кровь,Опс,МСК,до 23,  37 592 ,  52 629 
77709,"Гентингтоноподобное заболевание, тип 4 TBP, ч.м.",Цельная кровь,Опс,МСК,до 19,  18 392 ,  25 749 
77710,"Боковой амиотрофический склероз (БАС), SOD1, м.",Цельная кровь,Опс,МСК,до 20,  39 992 ,  55 989 
77711,"Торсионная дистония, тип 1, TOR1A (DYT1), ч.м.",Цельная кровь,Опс,МСК,до 19,  18 392 ,  25 749 
77712,"Спиноцеребеллярные атаксии, редкие формы, ч.м.",Цельная кровь,Опс,МСК,до 19,  39 992 ,  55 989 
77715,"Болезнь Фабри, GLA, м.",Цельная кровь,Опс,МСК,до 19,  54 392 ,  76 149 
77716,"Спиноцеребеллярные атаксии, частые формы, ч.м.",Цельная кровь,Опс,МСК,до 19,  39 992 ,  55 989 
77798,"Хориоретинопатия Бирдшота, типирование  HLA-A29",Цельная кровь,Кач,МСК,до 19,  17 592 ,  24 629 
77800,"Болезнь Бехчета, типирование  HLA B51",Цельная кровь,Кач,МСК,до 19,  19 992 ,  27 989 
777794,Хромосомный микроматричный анализ,Цельная кровь,Закл,МСК,до 33,  135 992 ,  190 389 
7069,"Болезнь Вильсона-Коновалова, экзом",Цельная кровь,Кач,МСК,до 39,  340 000 ,  476 000 
7961GJB2I,"Нейросенсорная несиндромальная тугоухость, поиск частых мутаций в гене GJB2 и крупных делеций в локусе DFNB1",Цельная кровь,,МСК,до 19,  59 752 ,  83 653 
7963GJB2I,"Нейросенсорная несиндромальная тугоухость, полный анализ гена GJB2",Цельная кровь,,МСК,до 26,  92 552 ,  129 573 
БР3/5,Срочное установление биологического родства для одного из родителей при бесспорном родстве другого (3 чел.) (Urgent Establishment of Biological Relationship for One Parent at Indisputable Relationship of Another (3 Persons)),Буккальный эпителий,Подтверждение или исключение отцовства (материнства),МСК,до 5,  144 840 ,  202 776 
БР3/20,Установление биологического родства для одного из родителей при бесспорном родстве другого (3 чел.) (Establishment of Biological Relationship for One Parent at Indisputable Relationship of Another (3 Persons)),Буккальный эпителий,Подтверждение или исключение отцовства (материнства),МСК,до 7,  111 112 ,  155 557 
БР2/5,Срочное установление биологического родства для одного из родителей при отсутствии другого (2 чел.) (Urgent Establishment of Biological Relationship for One Parent in Absence of Another (2 Persons)),Буккальный эпителий,Подтверждение или исключение отцовства (материнства),МСК,до 5,  148 312 ,  207 637 
БР2/20,Установление биологического родства для одного из родителей при отсутствии другого (2 чел.) (Establishment of Biological Relationship for One Parent in Absence of Another (2 Persons)),Буккальный эпителий,Подтверждение или исключение отцовства (материнства),МСК,до 7,  79 992 ,  111 989 
БР/ДОП,Дополнительный участник исследования (ребенок или мать или отец) (Additional research participant (child or mother or father)),Буккальный эпителий,Подтверждение или исключение отцовства (материнства),МСК,до 7,  62 056 ,  86 878 
7021,Генодиагностика бета-талассемий и гемоглобинопатий (генотипирование HBB) (Molecular diagnosis of beta-thalassemia and hemoglobinopathies (HBB gene)),Цельная кровь,,МСК,до 8,  56 872 ,  79 621 
7022,Диагностика TTR-амилоидоза (секвенирование 2-4 экзонов гена TTR) (Molecular diagnosis of ATTR-amyloidosis (sequencign of 2-4 exons of TTR gene)),Цельная кровь,,МСК,до 8,  51 032 ,  71 445 
7023,"Генодиагностика альфа-талассемии (HBA1, HBA2, HS-40) (Molecular diagnosis of alpha-thalassemia (HBA1, HBA2 genes and HS-40 regulation locus))",Цельная кровь,,МСК,до 8,  56 872 ,  79 621 
НПЯТ,Пробоподготовка (НПЯТ),,,Услуга,,  530 ,  742 
НБО1,"Скрининг новорождeнных «ПЯТОЧКА» (Newborn Screening ""HEEL"")*",Капиллярная кровь,Кол,МСК,до 13,  53 320 ,  74 648 
НБО2,Анализ спектра органических кислот мочи методом газовой хроматографии с масс-спектрометрией (ГХ/МС) (Analysis of the spectrum of organic urine acids by gas chromatography with mass spectrometry (GC / MS)),Моча,Кол,МСК,до 17,  88 264 ,  123 570 
7041GCDH,"Частая мутация в гене GCDH (глутаровая ацидурия тип 1) (GCDH (Glutaryl-CoA Dehydrogenase) Gene, Freq. Mut. (Glutaric Aciduria, Type 1))",Цельная кровь,Кач,МСК,до 13,  53 320 ,  74 648 
7042,"Полный анализ гена GCDH (глутаровая ацидурия тип 1) (GCDH (Glutaryl-CoA Dehydrogenase) Gene (Glutaric Aciduria, Type 1))",Цельная кровь,Кач,МСК,до 23,  455 176 ,  637 246 
7048,"Частая мутация в гене HADHA (недостаточность длинноцепочечной 3-гидроксиацил-КоА-дегидрогеназы) (HADHA Gene, Freq. Mut. (Long-Chain 3-Hydroxyacyl-Coa Dehydrogenase (LCHAD) Deficiency))",Цельная кровь,Кач,МСК,до 13,  53 320 ,  74 648 
7052,"Частая мутация в гене ACADM (недостаточность среднецепочечной дегидрогеназы жирных кислот MCAD) (ACADM Gene, Freq. Mut. (Medium-Chain Acyl-CoA Dehydrogenase (MCAD) Deficiency))",Цельная кровь,Кач,МСК,до 13,  53 320 ,  74 648 
7055,Полный анализ гена ОТС (недостаточность орнитинтранскарбамилазы) (ОTC Gene (Ornithine Transcarbamylase (OTC) Deficiency)),Цельная кровь,Кач,МСК,до 23,  420 232 ,  588 325 
7056,"Частые мутации в гене FAH (тирозинемия тип I) (FAH Gene, Freq. Mut. (Tyrosinemia, Type 1))",Цельная кровь,Кач,МСК,до 13,  97 000 ,  135 800 
7057,"Полный анализ гена FAH (тирозинемия тип I) (FAH Gene (Tyrosinemia, Type 1))",Цельная кровь,Кач,МСК,до 23,  551 272 ,  771 781 
