Код,Наименование,Цена,Цена со скидкой,Сроки выполнения
15-012,"Вирусные гепатиты. Первичная диагностика (Гепатит А, В, С)","10,9",9810,2-4
,Гепатит А (HAV IgM); Гепатит В (HBsAg); Гепатит С (anti HCV),,,
15-003,Вирусные гепатиты В и С. Скрининг (HbsAg + anti-HCV),"7,5",6750,2-4
,HbsAg + anti-HCV,,,
15-111,Вирусные гепатиты. Причины повышения АЛТ и АСТ,"17,05",15345,2-4
,"Гепатит В. Антиген HbsАg, Гепатит В. Антитела anti- HBcore IgM + IgG (суммарные), Гепатит С. Генотипирование HCV, ПЦР",,,
15-017,Вирусные гепатиты В и С (для мед. работников) HbsAg + anti-HCV,"7,5",6750,2-4
,"Гепатит В. Антиген HbsАg, Гепатит С. Суммарные антитела к гепатиту С (anti-HCV-IgM+IgG)",,,
15-058,Гепатит B развернутый (HbeAg + a-Hbe + HbsAg + a-Hbs + a-Hbc (IgM+IgG) + a-HbcIgM),"21,95",19755,5-7
15-075,"Диагностика гепатит А, Е (по эпид.показанию)","10,7",9630,3-5
,"Аланинаминотрансфера (АЛТ), Аспартатаминотрансфераза (АСТ), Билирубин общий, Гепатит А, Антитела IgM к гепатиту А(Anti-HRV IgM), Гепатит Е, Антитела IgM к гепатиту Е",,,
15-059,"Развернутое исследование гепатитов A, B, C, D","33,8",30420,5-6
,Гепатит А (anti-HAV - IgM); Гепатит В: HBsAg; anti-HBsAg - IgM+IgG; anti-HBcIgM; anti- HBcIgM+IgG; HBeAg; anti-HbeIgG; Гепатит С (anti-HCV- IgM+IgG); Гепатит Д (anti-HDV-IgM+IgG);,,,
15-060,"Развернутое исследование гепатитов А, В, С, D, Е","33,8",30420,5-7
,Гепатит А (anti-HAV - IgM); Гепатит В: HBsAg; anti-HBsAg - IgM+IgG; anti-HBcIgM; anti- HBcIgM+IgG; HBeAg; anti-HbeIgG; Гепатит С (anti-HCV- IgM+IgG); Гепатит Д (anti-HDV-IgM+IgG); Гепатит Е. Aнтитела IgM к гепатиту Е (anti-HEV-IgM),,,
15-286,Гепатиты В и С ультрачувствительный пакет,"42,6",38340,3-5
,"Гепатит B. количественный, ультрачувствительный (10 МЕ/мл), Abbott RealTime HBV, Гепатит С. количественный, ультрачувствительный (12 МЕ/мл), Abbott RealTime HCV",,,
16-111,INVIVO Печень Check,"31,95",28755,5-7
,"АЛТ, АСТ, билирубин общий, билирубин прямой, ГГТП, ЩФ, трансферрин, HbA1c, МНО, гомоцистеин, вит В9, вит В12",,,
15-265,Диагностика осложнений после Covid-19,"13,2",11880,2-4
,"ОАК, АЛТ, АСТ, Д-Димер, холестерин общий, мочевина и креатинин в сыворотке",,,
15-266,Диагностика организма во время Covid-19,"15,7",14130,2-4
,"ОАК, АЛТ, АСТ, СРБ, Д-Димер, холестерин общий, мочевина и креатинин в сыворотке",,,
15-280,Диагностика постковидного синдрома (Post-COVID-19 syndrome),"48,3",43470,14-16
,"COVID-19. Антитела IgM и IgG к N-белку SARS-Cov-2, Глюкоза, Д-димер, Интерлейкин - 6, Коагулограмма стандартная (АПТВ, протромбиновое время, протромбиновый индекс, тромбиновое время, МНО, фибриноген, РФМК), Фактор некроза опухоли (аФНО), Интерлейкин - 8",,,
15-004,Со спокойной душой (Интимный) – ИФА,"42,3",38070,1-3
,Хламидии (C trachomatis); Микоплазма (M hominis); Уреаплазма (U urealyticum); Гарднереллы (G. vaginalis); Трихомонады (T. vaginalis); Сифилис (T. pallidum); ВПГ (Herpes Simplex Virus ½); Кандида (С. albicans); ЦМВ (Цитомегаловирус),,,
15-001,"Со спокойной душой (интимный ПЦР, моча)","26,1",23490,3-5
,"Хламидии (C trachomatis) (моча ПЦР); Микоплазма (M hominis;M, genitalium) (моча ПЦР); Уреаплазма (U urealyticum) (моча ПЦР); Гонококки (N. gonorrhoeae) (моча ПЦР); Гарднереллы (G. vaginalis) (моча ПЦР); Трихомонады (T. vaginalis) (моча ПЦР); ВПГ (Herpes Simplex Virus ½) (моча ПЦР); Кандида (С. albicans) (Моча ПЦР); ЦМВ (Цитомегаловирус) (моча ПЦР)",,,
15-002,"Со спокойной душой (интимный ПЦР, соскоб)","26,1",23490,2-4
,"Хламидии (C trachomatis); Микоплазма (M hominis;M, genitalium); Уреаплазма (U urealyticum); Гонококки (N. gonorrhoeae); Гарднереллы (G. vaginalis); Трихомонады (T. vaginalis); ВПГ (Herpes Simplex Virus ½); Кандида (С. albicans); ЦМВ (Цитомегаловирус)",,,
15-110,"ПЦР на половые инфекции Хламидий, Трихомонады, Гонококки, соскоб","7,05",6345,2-4
,"Гонококки. N. gonorrhoeae (соскоб), ПЦР, Трихомонады. T.vaginalis (соскоб), ПЦР, Хламидии. С. trachomatis (соскоб), ПЦР",,,
15-126,"Инфекции ИПП, антитела IgG","16,95",15255,1-3
,"ВПГ. Антитела IgG к вирусу простого герпеса 1 и 2 типов, ИФА, ЦМВ. Антитела IgG к цитомегаловирусу, Микоплазма. Антитела IgG к M. hominis, ИФА, Уреаплазма. Антитела IgG к U. urealyticum, ИФА, Хламидии. Антитела IgG к C. trachomatis, ИФА, Трихомонады. Антитела IgG к Trichomonas vaginalis, ИФА, Кандиды. Антитела IgG к С. albicans, ИФА, Гарднереллы. Антитела IgG к G. vaginalis, ИФА",,,
15-052,"Здоровые связи. Гепатит В,С, вич и микрореакция","9,2",8280,3-5
,"Гепатиты В и С, ВИЧ (антитела к ВИЧ), микрореакцию на сифилис",,,
15-069,Биохимия. Базовый,"11,3",10170,1-3
,"(Аланинаминотрансфераза(АЛТ).Аспартатаминотрансфераза (АСТ),Билирубин общий,Билирубин прямой,Глюкоза.Креатинин в сыворотке (с расчетом СКФ).Мочевина.Общий белок,Холестерин общий)",,,
15-181,Биохимия. Расширенный,"21,3",19170,1-3
,"Глюкоза, ГГТП, Глик.гемоглобин, триглицериды, ЛПВП, ЛПНП, холестерин об.",,,
15-272,Диагностика ОРВИ.Биохимический,"29,4",26460,2-4
,"COVID-19. Антитела IgM к N-белку SARS-Cov-2; Витамин Д (25-гидроксивитамин D); Глюкоза; Д-димер; Коагулограмма стандартная (АПТВ, протромбиновое время, протромбиновый индекс, тромбиновое время, МНО, фибриноген, РФМК); Общий анализ крови; Липидограмма (Холестерин, ЛПВП, ЛПНП, триглицериды, коэфф.атерогенности); Магний (Mg); С-реактивный белок (СРБ)",,,
15-072,Почечные пробы,"3,95",3555,1-3
,Общий белок + Мочевина в сыворотке + Креатинин в сыворотке,,,
15-071,Ревмопробы,"7,35",6615,1-3
,СРБ+ РФ+ АСЛО,,,
15-078,"Ревмопробы, расширенный (РФ, СРБ, АСЛ-О, Анти-ЦЦП)","17,5",15750,1-3
,"РФ, СРБ, АСЛ-О, Анти-ЦЦП",,,
15-070,"Печёночные пробы (АЛТ, АСТ, билирубин общий, билирубин прямой)","5,9",5310,1-3
,"(АЛТ, АСТ, билирубин общий, билирубин прямой)",,,
15-273,Почечные пробы (с расчетом СКФ)+ СРБ + ОАК,"8,25",7425,1-3
15-274,Печёночные пробы. Расширенное исследование,"6,65",5985,1-3
,"(АЛТ, АСТ, билирубин общий, билирубин прямой, ГГТП, ЩФ)",,,
16-016,Гастропакет,"13,35",12015,1-2
,"(Витамин B9 (фолиевая кислота),Витамин В12 (цианокобаламин), Железо (Fe) в сыворотке, Измерение скорости оседания эритроцитов (СОЭ) в крови, 
 Кровь. Общий анализ (ОАК: эритроциты, гемоглобин, лейкоциты, тромбоциты), 
 Хеликобактер. Антитела IgA к H.pylori, ИФА,Хеликобактер. Антитела IgG к H.pylori, ИФА)",,,
16-034,Поджелудочная железа. Базовый,"13,35",12015,3-4
,"(Амилаза общая в сыворотке, Амилаза панкреатическая, Липаза, С-пептид, Индекс HOMA-IR (Инсулин + Глюкоза), Гликированный гемоглобин (HbA1c), Фосфатаза щелочная общая, Кровь. Развёрнутый общий анализ крови (эритроциты, гемоглобин, лейкоциты, тромбоциты, СОЭ, ретикулоциты) )",,,
16-025,Здоровая печень.Базовый.,"9,5",8550,2-3
,"(Аланинаминотрансфераза (АЛТ), Аспартатаминотрансфераза (АСТ), ГаммаГлютаминТранспептидаза (ГГТП), Фибриноген, Биллирубин общий, 
 Тимоловая проба, Общий белок, Холестерин общий, Кровь. Развёрнутый общий анализ крови (эритроциты, гемоглобин, лейкоциты, тромбоциты, СОЭ, ретикулоциты)",,,
15-080,Билирубин и его фракции,"3,2",2880,1-3
,Билирубин общий + билирубин прямой + билирубин непрямой,,,
15-093,Диагностика парапротеинемии (белки Бенс-Джонс+ М-градиент (качественно)),"42,3",38070,3-5
,"Моча. Определение белка Бенс-Джонса (с помощью иммунофиксации в моче), Определение М- градиента (качественно)",,,
15-094,Скрининг парапротеинемии в крови методом иммунофиксации (качественный),"27,1",24390,3-5
,"Определение М- градиента (качественно), Белковые фракции в сыворотке",,,
15-096,"Диагностика парапротеинемий (определение IgG, IgM, IgA, белковые фракции , М-градиент, белок Бенс-Джонса в моче, качественно)","73,5",66150,3-5
,"Определение(IgG, IgM,IgA), Белковые фракции, М-градиента в крови (колич), белок Бенс Джонса в моче (качест)",,,
15-102,Диагностика анемии. Расширенный,"23,75",21375,1-3
,"(Общая железосвязывающая способность для пакета (ОЖСС), Ненасыщенная железосвязывающая способность (НЖСС), Ферритин, Железо (Fe) в сыворотке),Трансферрин, Кровь. Общий анализ (ОАК: эритроциты, гемоглобин, лейкоциты, тромбоциты, СОЭ), Витамин B9 (фолиевая кислота), Витамин В12 (цианокобаламин), Витамин Д (25-гидроксивитамин D), Общий белок, С-реактивный белок (СРБ)",,,
16-102,Диагностика анемии. Стандарт,"10,65",9585,1-3
,"Железо (Fe) в сыворотке, Кровь. Общий анализ (ОАК: эритроциты, гемоглобин, лейкоциты, тромбоциты, Трансферрин, Ферритин",,,
16-109,Проверка анемии воспаления,"12,2",10980,1-2
,"(ОАК, СРБ, СОЭ, Трансферрин, Ферритин, Вит В12)",,,
15-229,Железные нервы,"43,4",39060,9-11
,"Витамины В1, В6, В9, В12, магний, железо",,,
16-045,Подготовка к госпитализации (неврология),77,69300,3-5
,"ОАК, ОАМ, АЛТ, АСТ, о.белок, мочевина, креатинин, о/пр. билирубин, глюкоза, о.холестерин, коагулограмма станд., микрореакция, АТ к ВИЧ, ВГС, ВГВ, Т3, Т4, антиТПО, кальцитонин, ТТГ, АКТГ, ЛГ, ФСГ, ГСПГ, СТГ, пролактин",,,
15-062,Комплексное обследование офтальмология,"32,6",29340,2-4
,"Кровь. Общий анализ (ОАК: эритроциты, гемоглобин, лейкоциты, тромбоциты, СОЭ), Моча. Общий анализ (ОАМ), Аланинаминотрансфераза (АЛТ), Аспартатаминотрансфераза (АСТ), Глюкоза, Кровь. Определение группы крови АВО + Резус фактор, Общий белок, Билирубин общий, Креатинин в сыворотке, Мочевина в сыворотке, Натрий (Na+), Калий (К+), Коагулограмма стандартная (АПТВ, протромбиновое время, протромбиновый индекс, тромбиновое время, МНО, фибриноген, РФМК), Кровь. Микрореакция, Кал на яйца гельминтов и цисты простейших, Гепатит В. Антиген HbsАg, Гепатит С. Антитела IgM+IgG к гепатиту С (anti-HCV-IgM+IgG), Кальций ионизированный (Ca++)",,,
15-044,Для плановой операции (стандарт),"29,2",26280,2-4
,"ОАК, ОАМ, Реакция Вассермана (RW), АЛТ, АСТ, Общий белок в сыворотке, Глюкоза в сыворотке, Креатинин в сыворотке, Мочевина в сыворотке, Билирубин общий, Определение группы крови АВО + Резус фактор, Коагулограмма (стандартная), Гепатит В HbsАg, Антитела к гепатиту С (anti-HCV-IgM+IgG)",,,
15-024,Здоровая печень. Профилактика,"16,1",14490,2-4
,ОАК; АЛТ; АСТ; Альбумин в сыворотке; Белок общий в сыворотке; Билирубин общий; Билирубин прямой; Фосфатаза щелочная общая;Тимоловая проба; Гаммаглютаминтранспептидаза (ГГТП); Протромбин; Фибриноген,,,
15-025,Здоровая печень. Расширенное обследование,"30,4",27360,2-4
,ОАК с лейкоцитарной формулой и СОЭ; АСТ; АЛТ; Лактатдегидрогеназа (ЛДГ); Фосфатаза щелочная общая; Холестерин общий; Билирубин общий; Билирубин прямой; Коагулограмма; Белок общий в сыворотке; Альбумин в сыворотке; Гепатит В (HBs Ag); Гепатит С (anti-HCV-IgM+IgG); Альфа-фетопротеин; Тимоловая проба,,,
15-026,Здоровые почки (с расчетом СКФ),"18,65",16785,2-4
,ОАК; ОАМ; Альбумин в сыворотке; Калий; Натрий; Креатинин в сыворотке; Мочевина в сыворотке; Коагулограмма; Холестерин (ЛПВП); Холестерин (ЛПНП); Триглицериды; Холестерин общий; Холестерин (ЛПОНП),,,
15-063,"Кардиориск. Диагностика ОКС, инфаркт миокарда","26,8",24120,2-4
,"тропонин I, липидограмма, Д-димер, коагулограмма, ОАК (общий анализ крови) , АЛТ, АСТ",,,
15-271,Кардиориск. Профилактика,"11,3",10170,1-4
,"Общий холестерин, ЛПВП,ЛПНП, Коэфицент атарагенности, триглицериды, С-реактивный белок, глюкоза и общий анализ крови",,,
15-257,Кардиориск. Расширенное обследование,"25,05",22545,5-7
,"(Аполипопротеин А1, В,Гомоцистеин,Глюкоза , Высокочувствительный С-реактивный белок, Холестерин, ЛПНП, ЛПВП, ЛПОНП, Триглицериды, Коэффициент атерогенности, МНО (INR), Протромбиновое время /индекс/ МНО, Фибриноген,Кровь. Общий анализ (ОАК: эритроциты, гемоглобин, лейкоциты, тромбоциты), СОЭ в крови)",,,
15-030,"Липидный обмен (Аполипопротеин А1, В + Липидограмма)","11,95",10755,2-4
,"Аполипопротеин А1, Аполипопротеин В, Липидограмма и ЛПОНП",,,
15-039,Повышенное артериальное давление. Минимум,"9,7",8730,1-3
,ОАК; Липидограмма; Креатинин в сыворотке; Мочевина в сыворотке; Глюкоза в сыворотке,,,
15-029,Повышенное артериальное давление. Развернутый,"36,65",32985,9-11
,"ОАК; Креатинин; Мочевина; Липидограмма; Калий; Натрий; ТТГ; Т4 свободный; Глюкоза в сыворотке; СРБ, Альдостерон, Ренин",,,
15-034,Поджелудочная железа. Развернутое обследование,"42,3",38070,1-3
,"Альфа-амилаза панкреатическая; Амилаза общая; Гликированный гемоглобин; С-реактивный белок; АЛТ; ГГТП; Билирубин общий; СА 19-9, Инсулин, ОАК, Общий белок, Альбумин, Трансферрин, АЛТ, АСТ, Щелочная фосфатаза, Билирубин (общий,прямой), липидограмма, о.Кальций, Амилаза панкреатическая, Копрограмма, СРБ, Липаза",,,
15-033,Поджелудочно-печеночный комплекс,"21,2",19080,1-3
,"Амилаза в сыворотке; Амилаза панкреатическая, глюкоза, ОАК, о.билирубин, пр.билирубин, Холестерин общий, Альбумин, Трансферрин, о.кальций, Липаза, креатинин с СКФ, мочевина",,,
16-052,Застой желчи (холестаз),"25,6",23040,1-3
,"Аланинаминотрансфераза (АЛТ), Альбумин, Аспартатаминотрансфераза (АСТ), Билирубин общий, Билирубин прямой, ГаммаГлютаминТранспептидаза (ГГТП), Глюкоза, Кровь. Общий анализ (ОАК: эритроциты, гемоглобин, лейкоциты, тромбоциты, Липидограмма (Холестерин, ЛПВП, ЛПНП, триглицериды, коэфф. атерогенности), Моча. Общий анализ (ОАМ), Общий белок, С-реактивный белок (СРБ), Фосфатаза щелочная общая",,,
15-040,Диагностика ожирения.Биохимия,"13,55",12195,1-3
,Гликолизированный гемоглобин; Глюкоза в сыворотке; Липидограмма; Общий белок в сыворотке; Мочевина в сыворотке; Креатинин в сыворотке,,,
15-043,Идеальная форма (Причины избыточного веса),"39,75",35775,3-5
,ОАК; АЛТ; АСТ; Билирубин общий; Глюкоза в сыворотке; Белок общий в сыворотке; Холестерин общий; Триглицериды; Холестерин (ЛПВП); Холестерин (ЛПНП); Холестерин (ЛПОНП); Коэффициент атерогенности; Пролактин; ТТГ; Анти-ТПО; Тироксин свободный (Т4); Фолликулостимулирующий гормон (ФСГ); Лютеинизирующий гормон (ЛГ); Эстрадиол; Тестостерон; Дегидроэпиандростерон (ДГЭА-SО4),,,
15-022,Настройся на стройность,"79,7",71730,7-9
,"ОАК, ОАМ, Копрограмма, АЛТ, АСТ, Билирубин общий/прямой, Щелочная фосфатаза, ГГТП, Креатинин, Мочевина, Общий белок, Амилаза общая, Липаза, Индекс HOMA-IR (Глюкоза, инсулин, индекс HOMA-IR), Железо, Ферритин, Липидограмма, Цинк, Калий, Натрий, Хлор, Магний, Фосфор, Кальций (Са++), Витамин Д, В9, В12, ТТГ, Т3 св, Т4 св, Пролактин, Эстрадиол, Прогестерон, Тестостерон и Кортизол",,,
16-046,Идеальный детокс,44,39600,1-3
,"Аланинаминотрансфераза (АЛТ), Антитела к тиреопероксидазе (анти- ТПО), Аспартатаминотрансфераза (АСТ), Витамин Д (25-гидроксивитамин D), Глюкоза, Гомоцистеин, Железо (Fe) в сыворотке, Инсулин, Липидограмма (Холестерин, ЛПВП, ЛПНП, триглицериды, коэфф. атерогенности), Общий белок, Тестостерон, Тироксин свободный (FТ4), Трийодтиронин свободный (FТ3), ТТГ (тиреотропный гормон), Ферритин",,,
15-055,Для солидных мужчин (40+),"27,6",24840,2-4
,"Глюкоза, коагулограмма расширенная, липидограмма стандартная, ПСА об/св, тестостерон, ТТГ",,,
15-021,"Проблемы веса, связанные с гормональным фоном","20,9",18810,1-3
,ТТГ; ФСГ; Эстрадиол; Анти-ТПО; ДГЭА -SO4; Тестостерон; Т4 свободный,,,
15-125,Постящимся в Рамадан/Великий пост,"38,3",34470,9-11
,"ОАК, АЛТ, АСТ, билирубин прямой/непрямой, глюкоза, глик.гемоглобин, инсулин, об белок, железо, ферритин, витамин Д, В9, В12, гомоцистеин",,,
15-099,"Диагностика парапротеинемии (белковые фракции, определение М-градиента с антисывороткой D (качественно))","24,1",21690,3-5
,"Белковые фракции в сыворотке, Определение М-градиента с антисывороткой D (качественно)",,,
15-121,Репродуктивные гормоны,"21,95",19755,3-4
,ЛГ; ФСГ; Эстрадиол; Прогестерон; Пролактин; Тестостерон; ДГЭА -SO4,,,
15-041,Сахарный диабет. Диагностика,"16,95",15255,1-3
,Инсулин; ОАМ; Глюкоза в сыворотке; Гликолизированный гемоглобин; Коагулограмма; Липидограмма,,,
16-005,Здоровье ребенка,"13,55",12195,1-3
,"Глюкоза в сыворотке, ТТГ (тиреотропный гормон), Кровь. Общий анализ (ОАК), Моча. Общий анализ (ОАМ), Кал на яйца гельминтов и цисты простейших",,,
15-073,Идем в лагерь,"6,1",5490,1-3
,"ОАК развернутый, СОЭ, ОАМ, соскоб на яйца остриц, кал на я/г и цисты лямблии (Parasep)",,,
16-047,Подготовка к школе. Базовый,"5,45",4905,1-3
,"Измерение скорости оседания эритроцитов (СОЭ) в крови, Кал на яйца гельминтов и цисты простейших, Кровь. Общий анализ (ОАК: эритроциты, гемоглобин, лейкоциты, тромбоциты), Моча. Общий анализ (ОАМ), Соскоб на яйца остриц",,,
16-048,Подготовка к школе. Расширенный,17,15300,1-3
,"Витамин Д (25-гидроксивитамин D), Глюкоза, Измерение скорости оседания эритроцитов (СОЭ) в крови, Кал на яйца глист и цисты лямблий (Parasep), Кровь. Общий анализ (ОАК: эритроциты, гемоглобин, лейкоциты, тромбоциты), Моча. Общий анализ (ОАМ), Соскоб на яйца остриц, Ферритин",,,
16-049,Подготовка к детскому саду. Базовый,"5,45",4905,1-3
,"Измерение скорости оседания эритроцитов (СОЭ) в крови, Кал на яйца гельминтов и цисты простейших, Кровь. Общий анализ (ОАК: эритроциты, гемоглобин, лейкоциты, тромбоциты), Моча. Общий анализ (ОАМ), Соскоб на яйца остриц",,,
16-050,Подготовке к детскому садику. Расширенный,17,15300,1-3
,"Витамин Д (25-гидроксивитамин D), Глюкоза, Измерение скорости оседания эритроцитов (СОЭ) в крови, Кал на яйца глист и цисты лямблий (Parasep), Кровь. Общий анализ (ОАК: эритроциты, гемоглобин, лейкоциты, тромбоциты), Моча. Общий анализ (ОАМ), Соскоб на яйца остриц, Ферритин",,,
21-020,"Электролиты в крови (К+, Na+, Ca+)","4,3",3870,1-3
,"Калий (К+), натрий (Na+), общий кальций (Ca)",,,
15-182,"Витамины (В9, В12, Д)","14,4",12960,1-3
15-105,Комплексный анализ на витамины и минералы,"39,45",35505,9-11
,"Витамин Д (25-гидроксивитамин D), витамин В12, витамин В9, калий, натрий, хлор, кальций общий, фосфор, магний, медь, железо, селен, цинк",,,
15-106,Диагностика выпадения волос,"28,25",25425,1-3
,"ТТГ, Т4 св и общ, Т3 св и общ, анти-ТПО, витамин Д, В12, В9, ОАК, кальций об,",,,
15-027,Здоровые волосы и ногти,"36,5",32850,9-11
,"Об.белок, витамины В7, Д, железо, селен, медь",,,
15-020,Сияющая кожа,"54,9",49410,9-11
,"Общий.белок, жирорастворимые витамины (A, D, E, K), В7, цинк, железо",,,
16-006,Анализ на гельминты. ИФА,"16,3",14670,2-4
,"Описторхи. Антитела IgG к описторхам, Токсокары. Антитела IgG к токсокарам, Трихинеллы. Антитела IgG к трихинеллам, Эхинококк. Антитела IgG к эхинококку, Аскариды. Антитела IgG к аскаридам
 Лямблии. Антитела IgA к лямблиям, ИФА, Лямблии. Антитела IgG к лямблиям, ИФА",,,
16-024,"Диагностика ожирения, для подростков","30,8",27720,3-5
,"Глюкоза в сыворотке, гликированный гемоглобин, холестерин общий, Триглицериды, мочевая кислота в сыворотке, общий белок в сыворотке, Аланинаминотрансфераза (АЛТ), Аспартатаминотрансфераза (АСТ), Билирубин (общий), Билирубин (прямой), Инсулин, Пролактин, ТТГ (тиреотропный гормон), Тироксин свободный (FT4), Эстрадиол",,,
16-022,Здоровый спортсмен. Стандартный,26,23400,1-3
,"Кальций общий ( Са), Магний (Mg), Калий ( К+), Натрий (Na+), Аланинаминотрансфера (АЛТ), Аспартатаминотрансфераза (АСТ), Мочевина, Креатинкиназа общая (КК, КФК), Билирубин об, Креатинин в сыворотке, Кортизол (утро), Общий белок, Глюкоза, Кровь. Общий анализ (ОАК), Липидограмма",,,
16-018,Здоровый спортсмен (расширенный ),"40,6",36540,2-4
,"Кальций общий ( Са), Фосфор (Р), Магний (Mg), Калий ( К+), Натрий (Na+), Аланинаминотрансфера (АЛТ), Аспартатаминотрансфераза (АСТ), Лактатдегидрогеназа (ЛДГ), Креатинкиназа общая (КФК), Альбумин в сыворотке, Билирубин в сыворотке, Креатинин в сыворотке, Мочевина в сыворотке, С-реактивный белок (СРБ), Глюкоза в сыворотке, Коагулограмма (стандартная), Трийодтиронин общий (ТТ3), Тироксин общий (ТТ4), ТТГ (тиреотропный гормон), Тестостерон, Кортизол (утро), Кровь. Общий анализ (ОАК)",,,
16-014,Комплексная оценка витаминов для спортсменов,"24,5",22050,1-3
,"Об.белок, альбумин, железо, магний, йод, калий, об.кальций, натрий, хлор, цинк, витамины В9, В12, Д",,,
15-035,Здоровая няня,"21,5",19350,5-7
,"гепатиты В и С, ВИЧ (антитела к ВИЧ), микрореакцию на сифилис, ОАК, гликозилированный гемоглобин, кал (копрограмма), мазок на степень чистоты",,,
15-031,Щитовидная железа. Профилактика,"11,95",10755,1-3
,ТТГ; Т4 свободный; Т3 свободный; Анти-ТПО,,,
15-032,Щитовидная железа. Расширенный,"19,85",17865,1-3
,ТТГ; Т3 общий; Т4 свободный; Т4 общий; Т3 свободный; Анти-ТГ; Анти-ТПО,,,
15-112,Щитовидная железа - гормональный статус при пониженном ТТГ,16,14400,1-3
,"Анти-ТПО. Антитела к тиреопероксидазе, Тироксин общий (ТТ4), Трийодтиронин общий (ТТ3)",,,
15-113,Щитовидная железа - гормональный статус при повышенном ТТГ,"8,55",7695,1-3
,"Антитела к рецепторам ТТГ, Тироксин общий (ТТ4), Трийодтиронин общий (ТТ3)",,,
16-110,INVIVO ПараЩит US,"15,6",14040,1-3
,"Кальцитонин, Паратгормон (интактный ПТГ), Анти-ТПО. Антитела к тиреопероксидазе",,,
15-122,"Комплексная оценка женских гормонов (менопауза): ФСГ, ЛГ, эстрадиол, ТТГ, FT4.","14,1",12690,1-3
15-123,"Комплексная оценка мужских гормонов (андропауза): ФСГ, ЛГ, эстрадиол, тестостерон.","11,1",9990,1-3
15-054,Инсулинорезистентность/метаболический синдром,"13,55",12195,1-3
,"глюкоза, липидограмма стандартная, инсулин, глик.гемоглобин, индекс HOMA-IR",,,
15-285,"Профилактика остеопороза (паратгормон, Са ионизированный)","7,7",6930,1-3
16-015,Диагностика заболеваний желудочно-кишечного тракта (ЖКТ),"26,85",24165,1-3
,"АЛТ; АСТ; Билирубин общий; ГаммаГлютаминТранспептидаза (ГГТП); Общий анализ крови; Липидограмма (Холестерин, ЛПВП, ЛПНП, триглицериды, коэфф. Атерогенности); Фосфатаза щелочная общая ; Хеликобактер H. pylori (кал), ПЦР; Хеликобактер. Антитела IgA к H.pylori; Хеликобактер. Антитела IgG к H.pylori, Витамин В 12 (Цианкобаламин), Витамин В 9 (Фолиевая кислота), Железо (Fe) в сыворотке",,,
16-038,Женский check-up: standard,"69,9",62910,7-9
,"ОАК (общий анализ крови), Коагулограмма, Липидограмма, Глюкоза, Гликозилированный гемоглобин, АЛТ, АСТ, Липаза, Щелочная фосфатаза, Билирубин прямой, Билирубин общий, Ферритин, Тестостерон, ТТГ, Т3 свободный, Т4 свободный, Антитела к тиреопероксидазе (анти- ТПО), Витамин В12, Витамин В9, Витамин Д, Гепатит В. Антиген HbsAg, Гепатит С. Антитела IgM+IgG",,,
16-039,Женский check-up: premium,"104,2",93780,7-9
,"ОАК (общий анализ крови), Антинуклеарные антитела (АНФ), Коагулограмма, Липидограмма, Глюкоза, Гликозилированный гемоглобин, АЛТ, АСТ, ГГТП, Щелочная фосфатаза, Билирубин прямой, Билирубин общий, Ферритин, Сывороточное железо, Общий белок, Альбумин, Креатинин, Гомоцистеин, СРБ (С-реактивный белок), ТТГ, Т3 свободный, Т4 свободный, Тестостерон, Паратгормон, Витамин В9, Витамин В12, Витамин Д, Магний, Калий, Высокочувствительный Тропонин-I д",,,
16-040,Мужской check-up: standard,"69,9",62910,8-10
,"ОАК (общий анализ крови), Коагулограмма, Липидограмма, Глюкоза, АЛТ, АСТ, Липаза, Щелочная фосфатаза, Билирубин прямой, Билирубин общий, Ферритин, Витамин Д, Гомоцистеин, СРБ (С-реактивный белок), Тестостерон, ТТГ, Т3 свободный, Т4 свободный, Гепатит В. Антиген HbsAg, Гепатит С. Антитела IgM+IgG",,,
16-041,Мужской check-up: premium,"104,2",93780,8-10
,"ОАК (общий анализ крови), Антинуклеарные антитела (АНФ), Коагулограмма, Липидограмма, Глюкоза, Гликозилированный гемоглобин, АЛТ, АСТ, ГГТП, Щелочная фосфатаза, Билирубин прямой, Билирубин общий, Гомоцистеин, СРБ (С-реактивный белок), Ферритин, Сывороточное железо, Общий белок, Альбумин, Креатинин, Витамин Д, Магний, Калий, ТТГ, Т3 свободный, Т4 свободный, Тестостерон, ПСА общий, ПСА свободный, Высокочувствительный Тропонин-I",,,
15-053,Детский check-up дошкольника,"40,5",36450,7-9
,"ОАК (общий анализ крови), СРБ, Глюкоза, АЛТ, АСТ, Билирубин прямой, Билирубин общий, Ферритин, Витамин Д, Гепатит В. Антиген HbsAg, Гепатит С. Антитела IgM+IgG, Аскариды. Антитела IgG, Лямблии. Антитела IgМ и IgG к лямблиям",,,
16-042,Детский check-up школьника,"42,95",38655,8-10
,"ОАК (общий анализ крови), СРБ, Глюкоза, АЛТ, АСТ, Билирубин прямой, Билирубин общий, Ферритин, Витамин Д, Общий белок, Альбумин, Гепатит В антиген HbsAg, Гепатит С. антитела IgM+IgG, Аскариды. Антитела IgG, Лямблии. Антитела IgМ и IgG к лямблиям",,,
16-043,Детский check-up подростка,"62,55",56295,8-10
